# food data from Michael Clark et al (2022). Estimating the environmental impacts of 57,000 food products. PNAS. 
Entity,Category,Emissions,Water Use,Land Use,Eutrophication
Pecan nuts,Category,2.52,3046.98,11.73,19.34
Penne pasta,Category,1.63,614.16,3.74,11.14
Peppers,Category,0.92,362.93,1.24,2.67
Pineapple,Category,0.93,793.04,1.02,14
Pitta bread,Category,0.56,134.4,1.8,4.08
Popcorn,Category,1.81,316.85,3.18,8.92
Poppadoms,Category,1.5,293.58,4.96,22.67
Pork chops,Category,12.16,1642.01,17.31,76
Pork loin,Category,11.98,1611.19,16.46,75.59
Pork sausage rolls,Category,6.19,783.43,7.93,34.12
Pork sausages,Category,9.77,1292.22,13.56,60.9
Porridge (oatmeal),Category,1.56,232.57,4.99,10.48
Potato croquettes,Category,0.77,71.92,1.41,4.63
Potatoes,Category,0.21,80.81,0.8,1.44
Prawn crackers,Category,4.93,815.87,5.47,53.66
Prawns,Category,20.91,3197.15,1.02,154.77
Protein bar,Category,3.37,1423.92,11.13,12.17
Protein shake,Category,1.74,322.9,5.64,7.09
Pumpkin seeds,Category,1.32,212.61,3.34,5.71
Quiche,Category,4.67,455.86,5.59,18.21
Quinoa,Category,1.14,210.35,3.23,5.67
Rapeseed oil,Category,3.29,88.67,7.21,15.36
Raspberries,Category,8.37,45.71,1.54,4.96
Raspberry jam,Category,5.11,786.81,1.96,14.23
Rice,Category,3.93,2114.44,2.94,26.45
Rice milk,Category,1.44,474.15,0.52,5.67
Rice noodles,Category,3.41,1869.56,2.49,22.4
Ricotta cheese,Category,16.29,1549.24,18.97,55.21
Salmon,Category,10.41,1360.68,4.75,57.76
Salmon fishcakes,Category,6.51,1074.93,3.36,35.14
Sausage rolls,Category,5.85,779.44,7.84,33.49
Shepherd's pie,Category,7.74,74.28,11.05,8.49
Shortbread biscuits,Category,2.22,514.05,3.07,11.52
Sourdough bread,Category,0.85,248.65,2.37,5.42
Soy desert,Category,1.09,289.26,1.98,6.15
Soy milk,Category,0.89,50.48,0.87,2.75
Soy yoghurt,Category,0.5,196.37,1.02,3.6
Spaghetti,Category,1.65,500.99,3.81,11.1
Spaghetti bolognese,Category,7.83,844.76,15.16,96.66
Spinach,Category,1.01,269.96,0.99,2.57
Sponge cake,Category,1.88,487.89,2.4,9.04
Steak pie,Category,7.1,727.74,14.1,91.04
Strawberries,Category,3.24,349.2,3.45,3.83
Strawberry jam,Category,2.6,949.7,2.97,13.65
Sugar,Category,1.85,1202.39,2.15,17.23
Sunflower oil,Category,3.66,23.19,19.46,88.06
Sunflower seeds,Category,1.93,14.26,10.98,49.43
Sweetcorn,Category,0.97,157.24,2.08,4.07
Tea,Category,17.62,62.44,23.66,66.71
Tofu,Category,1.02,31.18,3.03,5.55
Tomato ketchup,Category,2.61,494.95,1.67,10.31
Tomatoes,Category,2.27,291.67,0.89,6.02
Tortilla wraps,Category,0.95,231.84,2.26,5
Tuna,Category,13.08,3771.4,5.52,61.55
Vegan pizza,Category,1.95,293.89,2.05,9.8
Vegetable lasagne,Category,3.38,382.99,4.15,11.85
Vegetarian chilli con carne,Category,1.43,152.48,3.47,6.72
Vegetarian curry,Category,1.31,374.8,2.28,7.35
Vegetarian pizza,Category,5.23,579.25,6.52,20.05
Walnuts,Category,2.42,3458.07,11.88,18.74
Watermelon,Category,0.97,743.31,1.01,13.12
Wine,Category,1.72,93.54,4.33,4.64
Yoghurt,Category,3.11,311.75,3.21,9.96
