# This file contains all data for the mysql table named Cronometer_Food_Mapping
#
#+----------------------+--------------+------+-----+---------+----------------+
#| Field                | Type         | Null | Key | Default | Extra          |
#+----------------------+--------------+------+-----+---------+----------------+
#| cronometer_food_id   | int unsigned | NO   | PRI | NULL    | auto_increment |
#| cronometer_food_name | varchar(100) | NO   |     | NULL    |                |
#| food_id              | int unsigned | NO   | MUL | NULL    |                |
#+----------------------+--------------+------+-----+---------+----------------+
#
# It is used to initialize the Cronometer food mapping data (567 cronometer foods mapped to 93 foods sourced from clark-food and poores-food)
# | used as delimiter as commas are common in cronometer food names
# food_id is the a foreign key to Food
# food_name is not an actual column, just for clarity
# format: cronometer_food_name|food_id|food_name
Avocados, Raw, All Commercial Varieties|643|Avocados
Avocados, Raw, California|643|Avocados
Avocados, Raw, Florida|643|Avocados
Bacon, Pork|644|Bacon
Bananas, Raw|645|Bananas
Banana, Fried|645|Bananas
Black Beans, Canned, Drained|646|Beans
Beans, Black, Mature seeds, Cooked, Boiled without Salt|646|Beans
Beef Steak, Sirloin, No Visible Fat Eaten|647|Beef
Beef Steak, Sirloin, Visible Fat Eaten|647|Beef
Hamburger or Ground Beef, 80% Lean|647|Beef
Beer|648|Beer
Beer, Low Carb|648|Beer
Beer, 7.7% Alcohol|648|Beer
Beer, Non Alcoholic|648|Beer
Beer, Low Alcohol|648|Beer
Light Beer|648|Beer
Light Beer, 7.7% Alcohol|648|Beer
Beetroot, Raw|649|Beetroot
G's, Beetroot|649|Beetroot
Rewe, Beetroot|649|Beetroot
Hak, Beetroot|649|Beetroot
Droga, Beetroot|649|Beetroot
Beauvais, Beetroot|649|Beetroot
BTG, Red Beetroot|649|Beetroot
Gut Bio, Beetroot|649|Beetroot
Hak, Beetroot Sticks|649|Beetroot
Oak, Beetroot Slices|649|Beetroot
Coles, Beetroot, Diced|649|Beetroot
Alnatura, Beetroot|649|Beetroot
Edgell, Beetroot, Sliced|649|Beetroot
Coop, Cooked Beetroot|649|Beetroot
Pams, Sliced Beetroot|649|Beetroot
Dm Bio, Beetroot, Sliced|649|Beetroot
Bio Bio, Beetroot, Cooked|649|Beetroot
Tesco, Cooked Beetroot|649|Beetroot
Yumi's, Roasted Beetroot|649|Beetroot
Brookerpaks, Beetroot|649|Beetroot
Chef, Sliced Beetroot|649|Beetroot
Coles, Sliced Beetroot|649|Beetroot
Brazil Nuts, Unsalted|650|Brazil nuts
Brazil Nuts, Salted|650|Brazil nuts
Nuts, Brazil Nuts, Dried, Unblanched|650|Brazil nuts
Ja!, Brazil Nuts|650|Brazil nuts
HEB, Brazil Nuts|650|Brazil nuts
Pams, Brazil Nuts|650|Brazil nuts
Pams, Brazil Nuts|650|Brazil nuts
Nuttini, Brazil Nuts|650|Brazil nuts
Asda, Brazil Nuts|650|Brazil nuts
Coop, Brazil Nuts|650|Brazil nuts
Coles, Brazil Nuts|650|Brazil nuts
Hines, Brazil Nuts|650|Brazil nuts
HEB, Brazil Nuts, Raw|650|Brazil nuts
Ja!, Brazil Nuts, Natural|650|Brazil nuts
Bassé, Brazil Nuts|650|Brazil nuts
Co-op, Brazil Nuts|650|Brazil nuts
Jumbo, Brazil Nuts|650|Brazil nuts
Lucky, Brazil Nuts|650|Brazil nuts
Tesco, Brazil Nuts|650|Brazil nuts
Elan, Brazil Nuts, Raw|650|Brazil nuts
Natural Nuts, Brazil Nuts|650|Brazil nuts
Alesto, Brazil Nuts|650|Brazil nuts
Publix, Brazil Nuts|650|Brazil nuts
DM, Bio, Brazil Nuts|650|Brazil nuts
Rimi, Nut Bar with Brazil|650|Brazil nuts
Sprouts, Brazil Nuts|650|Brazil nuts
Coles, Brazil Nuts, Natural|650|Brazil nuts
Yupik, Brazil Nuts, Raw|650|Brazil nuts
Yupik, Brazil Nuts, Raw|650|Brazil nuts
I'm a Nut, Raw Brazil nuts|650|Brazil nuts
I'm A Nut, Raw Brazil Nuts|650|Brazil nuts
We Got Nuts, Brazil Nuts|650|Brazil nuts
Nut Cravings, Raw Brazil Nuts|650|Brazil nuts
Nut Cravings, Raw Brazil Nuts|650|Brazil nuts
Walmart, Brazil Nuts|650|Brazil nuts
Royal Nuts, Brazil Nuts, Raw|650|Brazil nuts
Delhaize, Brazil Nuts|650|Brazil nuts
Delhaize, Brazil Nuts|650|Brazil nuts
Eillien's, Brazil Nuts|650|Brazil nuts
Eillien's, Brazil Nuts|650|Brazil nuts
Joe's, Raw Brazil Nuts|650|Brazil nuts
Waitrose, Brazil Nuts|650|Brazil nuts
Nuts.com, Organic Brazil Nuts|650|Brazil nuts
I'm a Nut, Brazil Nuts, Dry Roasted|650|Brazil nuts
Wegmans, Brazil Nuts, Raw|650|Brazil nuts
Yupik, Brazil Nuts, Broken|650|Brazil nuts
Fruidles, Brazil Nuts, Raw|650|Brazil nuts
Nut Cravings, Brazil Nuts, Roasted & Salted|650|Brazil nuts
Yu Pik, Brazil Nuts, Organic|650|Brazil nuts
dmBio, Brazil Nut Kernel|650|Brazil nuts
Bread, Mixed Grain, Added Seeds, Commercial, Toasted|651|Bread
Bread, Whole Wheat, Commercially Prepared|651|Bread
Bread, Rye|651|Bread
Bread, White, Commercially Prepared|651|Bread
Sourdough Bread|651|Bread
Bread Roll, Soft, White|651|Bread
Wheat Bread|651|Bread
Bread, Rye|651|Bread
Whole Wheat Bread, Homemade or Bakery|651|Bread
White Bread, Homemade or Bakery|651|Bread
Bread, Wheat|651|Bread
Bread, Italian|651|Bread
Bread, Wheat, Toasted|651|Bread
Maine Brown Bread|651|Bread
White Bread, Low Sodium|651|Bread
Cracked Wheat Bread|651|Bread
Boston Brown Bread|651|Bread
Oatmeal Bread, Low Calorie|651|Bread
Bread, Rye, Toasted|651|Bread
Rye Bread, Reduced Calorie, Light, High Fiber|651|Bread
Gluten Free Bread, Multigrain or Whole Grain|651|Bread
Wheat Bread, Reduced Calorie, High Fiber|651|Bread
Bread, wheat bran|651|Bread
Bread, White Wheat|651|Bread
Whole Wheat Bread, Low Sodium|651|Bread
White Bread, Reduced Calorie, Light, High Fiber|651|Bread
Bread, cracked-wheat|651|Bread
Bread, Wheat, Sprouted|651|Bread
Multigrain Bread, Reduced Calorie, Light, High Fiber|651|Bread
Bread, oatmeal, toasted|651|Bread
Cracked Wheat Bread, Reduced Calorie, High Fiber|651|Bread
Bread, oat bran, toasted|651|Bread
Sprouted whole grain bread|651|Bread
White Whole Grain Wheat Bread|651|Bread
Bread, boston brown, canned|651|Bread
Bread, reduced-calorie, rye|651|Bread
Bread, wheat germ, toasted|651|Bread
Bread, wheat, sprouted, toasted|651|Bread
Bread, reduced-calorie, wheat|651|Bread
Bread, reduced-calorie, white|651|Bread
White and Whole Wheat Swirl Bread|651|Bread
