# This file contains all data for the mysql table named Food
#
#| Field          | Type         | Null | Key | Default | Extra          |
#+----------------+--------------+------+-----+---------+----------------+
#| food_id        | int unsigned | NO   | PRI | NULL    | auto_increment |
#| name           | varchar(100) | NO   |     | NULL    |                |
#| category       | varchar(100) | NO   |     | NULL    |                |
#| emissions      | decimal(6,2) | NO   |     | NULL    |                |
#| water_use      | decimal(6,2) | NO   |     | NULL    |                |
#| land_use       | decimal(6,2) | NO   |     | NULL    |                |
#| eutrophication | decimal(6,2) | NO   |     | NULL    |                |
#+----------------+--------------+------+-----+---------+----------------+
#
# It is used to initialize the Food data
# format: name,category,emissions (CO2 eq / kg),water_use (L / kg),land_use (m2 / kg),eutrophication (PO4 eq / kg)
# Entity,Category,Emissions,Water Use,Land Use,Eutrophication
Cauliflower,Vegetables,0.89,136.94,0.79,5.94
Cereal bars,Grains,2.85,843.37,5.56,13.81
Cheese,Dairy and Alternatives,23.88,5605.2,87.79,98.37
Chia seeds,Protein Foods,1.22,210.9,3.43,5.99
Chicken,Protein Foods,9.27,563.92,9.22,37.36
Chickpeas,Protein Foods,1.34,161.39,15.57,9.68
Cider,Alcohol,1.08,242.71,0.91,3.19
Coconut milk,Milk and Alternatives,3.32,217.23,0.55,2.12
Coconut oil,Oil,0.53,345.99,0.73,6.51
Coffee,Beverages,28.53,25.9,21.62,110.52
Corn,Vegetables,0.97,157.24,2.08,4.07
Couscous,Grains,1.16,333.85,2.95,6.15
Cow's milk,Milk and Alternatives,3.7,309.77,4.07,11.47
Cracker biscuits,Snacks,2.45,787.92,4.46,14
Crisps,Snacks,3.03,420.95,7.53,32.29
Cucumber,Vegetables,0.85,318.78,1.08,2.51
Dairy-free cheese,Dairy and Alternatives,1.98,1416.95,4.21,11.73
Dairy-free ice cream,Deserts,2.45,407.9,3.49,8.9
Dark chocolate,Deserts,20.62,301.49,48.79,41.64
Eggs,Protein Foods,4.44,830.03,6.82,19.98
Fish,Protein Foods,13.63,3691.3,8.41,235.12
Fruit smoothies,Beverages,1.65,172.43,1.29,3.67
Grapes,Fruit,8.28,46.55,1.54,4.93
Ice cream,Deserts,3.66,463.34,5.29,12.55
Kale,Vegetables,0.9,133.35,0.81,6.33
Kiwis,Fruit,1.61,726.69,1.07,13.2
Lamb,Protein Foods,30.74,88.01,43.42,23.41
Lemons,Fruit,0.47,123.26,0.61,1.62
Lentils,Protein Foods,2.54,14.31,27.47,27.73
Lettuce,Vegetables,4.93,294.99,6.78,5.12
Milk chocolate,Deserts,10.8,551.85,17.27,26.79
Muesli,Grains,2.27,343.18,3.95,10.51
Mushrooms,Vegetables,2.35,1459.08,2.87,13.4
Oat milk,Milk and Alternatives,0.45,14.49,0.53,1.43
Oats,Grains,2.48,482.4,7.6,11.23
Olive oil,Oil,5.18,1411.24,21.71,34.26
Onions,Vegetables,0.36,53.86,0.4,1.54
Orange juice,Beverages,0.49,142.69,0.71,2.18
Oranges,Fruit,0.47,115.54,0.67,1.6
Pasta,Grains,1.63,614.16,3.74,11.14
Peanut butter,Butter and Alternatives,3.43,2618.92,8.69,14.59
Peanuts,Protein Foods,3.15,2169.65,8.31,16.73
Pears,Fruit,0.93,783.35,1.01,13.83
Peas,Vegetables,1,346.79,6.61,12.43
Pecan nuts,Protein Foods,2.52,3046.98,11.73,19.34
Pineapple,Fruit,0.93,793.04,1.02,14
Pork,Protein Foods,12.16,1642.01,17.31,76
Potatoes,Vegetables,0.21,80.81,0.8,1.44
Prawns,Protein Foods,20.91,3197.15,1.02,154.77
Protein bar,Protein Foods,3.37,1423.92,11.13,12.17
Protein shake,Protein Foods,1.74,322.9,5.64,7.09
Pumpkin seeds,Protein Foods,1.32,212.61,3.34,5.71
Quinoa,Grains,1.14,210.35,3.23,5.67
Raspberries,Fruit,8.37,45.71,1.54,4.96
Rice,Grains,3.93,2114.44,2.94,26.45
Rice noodles,Grains,3.41,1869.56,2.49,22.4
Soy milk,Milk and Alternatives,0.89,50.48,0.87,2.75
Soy yoghurt,Dairy and Alternatives,0.5,196.37,1.02,3.6
Spinach,Vegetables,1.01,269.96,0.99,2.57
Strawberries,Fruit,3.24,349.2,3.45,3.83
Strawberry jam,Deserts,2.6,949.7,2.97,13.65
Sunflower oil,Oil,3.66,23.19,19.46,88.06
Sunflower seeds,Protein Foods,1.93,14.26,10.98,49.43
Tea,Beverages,17.62,62.44,23.66,66.71
Tofu,Protein Foods,1.02,31.18,3.03,5.55
Tomatoes,Vegetables,2.27,291.67,0.89,6.02
Walnuts,Protein Foods,2.42,3458.07,11.88,18.74
Watermelon,Fruit,0.97,743.31,1.01,13.12
